City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Tecoanapa,MX,82.89,broken clouds,16.5167,-98.75,Hotel Manglares
529,Bambanglipuro,ID,78.37,broken clouds,-7.95,110.2833,Puri Brata
533,Elat,IL,78.64,clear sky,29.5581,34.9482,Club Hotel Eilat
536,Atambua,ID,76.48,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
538,Simpang,ID,74.52,scattered clouds,-1.2667,104.0833,
539,Kasulu,TZ,73.17,overcast clouds,-4.5767,30.1025,Nazaret lodge
540,Tomatlan,MX,82.18,overcast clouds,19.9333,-105.25,El Salvial
541,Corumba,BR,85.71,clear sky,-19.0092,-57.6533,Hotel Laura Vicunha
542,Tutoia,BR,94.98,clear sky,-2.7619,-42.2744,Pousada Guará's
548,Mecca,SA,84.2,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
549,Kokopo,PG,77.07,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
550,Odweyne,SO,81.59,broken clouds,9.4092,45.064,Eng Hiirey House
551,Parana,AR,88.3,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
552,Mabaruma,GY,77.0,light rain,8.2,-59.7833,Monty Brooms Guest House
554,Boyolangu,ID,77.25,overcast clouds,-8.1181,111.8935,Yos ega cv
555,Isla Mujeres,MX,86.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
556,Mandleshwar,IN,77.99,broken clouds,22.1833,75.6667,Mahalaxmi Bhojnalay
559,Cap Malheureux,MU,75.69,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
564,Kulhudhuffushi,MV,82.06,overcast clouds,6.6221,73.07,Haajy Guest House 1
565,Pemangkat,ID,80.53,moderate rain,1.1667,108.9667,Ramah Kost KITA
573,Cairns,AU,71.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
578,Las Tunas,CU,86.13,broken clouds,20.9617,-76.9511,Hotel Cadillac
579,Seminole,US,84.38,few clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
583,Thinadhoo,MV,84.07,overcast clouds,0.5333,72.9333,
584,Surin,TH,70.56,broken clouds,14.8818,103.4936,One Fu Hotel
586,Mogeiro,BR,92.32,few clouds,-7.2994,-35.4794,
587,Venado Tuerto,AR,87.78,clear sky,-33.7456,-61.9688,Hotel - Miro Park
590,San Lazaro,BZ,85.78,broken clouds,18.0387,-88.6622,
591,Yanam,IN,81.0,clear sky,16.7333,82.2167,The Regency Hotel
592,Sulangan,PH,83.37,overcast clouds,11.1373,123.7228,Maia's Beach Resort
593,Abonnema,NG,81.21,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
596,Mogadishu,SO,80.1,broken clouds,2.0371,45.3438,Hotel Juba
599,Filadelfia,US,73.36,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
603,Byron Bay,AU,71.55,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
606,Mao,ES,70.36,few clouds,39.8885,4.2658,ARTIEM Capri
609,Port Antonio,JM,87.71,overcast clouds,18.18,-76.4612,The Trident Hotel
612,Yei,SS,73.27,broken clouds,4.095,30.6779,City Link Hotel
615,Inhambane,MZ,73.72,scattered clouds,-23.865,35.3833,Oceano
619,Marsa Matruh,EG,73.6,scattered clouds,31.3525,27.2453,Beau Site
620,Bacalar,MX,86.11,broken clouds,18.6667,-88.3833,Hotel Laguna Bacalar
621,Estelle,US,82.99,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
623,Waddan,LY,81.91,few clouds,29.1614,16.139,محل الشريف محمد العايب
628,Tres Arroyos,AR,74.75,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
629,Ormara,PK,79.02,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
630,Somotillo,NI,84.52,clear sky,13.0433,-86.9064,Las Lomas Somotillo
631,Houma,US,82.0,mist,29.5958,-90.7195,Courtyard by Marriott Houma
635,Bilma,NE,93.65,clear sky,18.6853,12.9164,Expeditions Ténére voyages
636,Mindelo,CV,80.15,broken clouds,16.8901,-24.9804,Hotel Gaudi
638,Hun,LY,82.87,clear sky,29.1268,15.9477,Alrwasi Hotel
641,Avera,US,74.71,overcast clouds,33.194,-82.5271,
642,Port Blair,IN,80.87,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
644,Impfondo,CG,79.3,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
646,Gorontalo,ID,75.81,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
647,Gasa,PS,75.18,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
648,Phibun Mangsahan,TH,73.38,scattered clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
652,Buin,CL,79.12,scattered clouds,-33.7333,-70.75,Paihuen
656,Santa Isabel Do Rio Negro,BR,79.92,light rain,-0.4139,-65.0192,Hotel GSA
657,Miandrivazo,MG,89.33,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
659,Pokaran,IN,79.88,few clouds,26.9167,71.9167,Motel Pokaran - RTDC
660,Caravelas,BR,75.15,light rain,-17.7125,-39.2481,Pousada dos Navegantes
663,Madanapalle,IN,72.5,broken clouds,13.55,78.5,Prithvi Lodge
664,Saba,HN,88.9,few clouds,15.4667,-86.25,TORROJAMARU
665,Meulaboh,ID,76.05,light rain,4.1363,96.1285,Kost Pria
669,Mercedes,AR,86.02,clear sky,-34.6515,-59.4307,Posada del Inti Centro
